class_path,version31cbo,version32cbo,version33cbo,version34cbo,version31lcom,version32lcom,version33lcom,version34lcom
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,1,0,0,1,2,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,1,0,0,1,2,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,1,0,0,1,2,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,1,1,1,1,2
run_all_unittests.cc,0,1,0,1,1,2,1,2
run_all_unittests.cc,0,0,0,1,1,1,1,2
run_all_unittests.cc,0,0,0,1,1,1,1,2
run_all_unittests.cc,0,0,0,1,1,1,1,2
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,1,0,0,1,2,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,1,0,0,1,2,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,1,0,0,1,2,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,1,0,0,1,2,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,1,1,1,1,2
run_all_unittests.cc,0,1,0,1,1,2,1,2
run_all_unittests.cc,0,0,0,1,1,1,1,2
run_all_unittests.cc,0,0,0,1,1,1,1,2
run_all_unittests.cc,0,0,0,1,1,1,1,2
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,1,0,0,1,2,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,1,0,0,1,2,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,1,0,0,1,2,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,0,0,0,0,1,1,1,1
run_all_unittests.cc,1,0,0,0,2,1,1,1
run_all_unittests.cc,1,1,0,0,2,2,1,1
run_all_unittests.cc,1,0,0,0,2,1,1,1
run_all_unittests.cc,1,0,0,0,2,1,1,1
run_all_unittests.cc,1,0,0,0,2,1,1,1
run_all_unittests.cc,1,0,0,1,2,1,1,2
run_all_unittests.cc,1,1,0,1,2,2,1,2
run_all_unittests.cc,1,0,0,1,2,1,1,2
run_all_unittests.cc,1,0,0,1,2,1,1,2
run_all_unittests.cc,1,0,0,1,2,1,1,2
run_all_unittests.cc,1,0,0,0,2,1,1,1
run_all_unittests.cc,1,1,0,0,2,2,1,1
run_all_unittests.cc,1,0,0,0,2,1,1,1
run_all_unittests.cc,1,0,0,0,2,1,1,1
run_all_unittests.cc,1,0,0,0,2,1,1,1
run_all_unittests.cc,1,0,0,0,2,1,1,1
run_all_unittests.cc,1,1,0,0,2,2,1,1
run_all_unittests.cc,1,0,0,0,2,1,1,1
run_all_unittests.cc,1,0,0,0,2,1,1,1
run_all_unittests.cc,1,0,0,0,2,1,1,1
run_all_unittests.cc,1,0,0,0,2,1,1,1
run_all_unittests.cc,1,1,0,0,2,2,1,1
run_all_unittests.cc,1,0,0,0,2,1,1,1
run_all_unittests.cc,1,0,0,0,2,1,1,1
run_all_unittests.cc,1,0,0,0,2,1,1,1
syncable_file_system_unittest.cc,4,4,4,4,0,0,0,0
extension_disabled_ui_browsertest.cc,2,2,2,3,6,6,6,6
create_application_shortcut_view.cc,4,4,4,4,0,0,0,0
tab_renderer_data.cc,0,0,0,0,0,0,0,0
privet_http_asynchronous_factory.cc,0,0,0,0,0,0,0,0
memory_details_android.cc,1,1,1,1,3,3,3,3
display_info.cc,0,0,0,0,0,0,0,0
template_url_prepopulate_data.cc,0,0,0,0,0,0,0,0
chrome_content_plugin_client.cc,0,0,0,0,0,0,0,0
scoped_transform_overview_window.cc,0,0,0,0,0,0,0,0
pepper_platform_verification_message_filter.cc,1,1,1,1,0,0,0,0
theme_service_browsertest.cc,1,1,1,1,3,3,3,3
fake_api_util.cc,0,0,0,0,0,0,0,0
component_updater_service.cc,4,5,3,0,12,14,9,0
signature_util_win_unittest.cc,0,0,0,0,0,0,0,0
autofill_dialog_result.cc,0,0,0,0,0,0,0,0
favicon_helper.cc,4,3,3,3,12,18,18,18
dns_probe_service.cc,3,3,3,3,5,5,5,5
icu_util.cc,0,0,0,0,0,0,0,0
content_analysis_unittest.cc,0,0,0,0,3,3,3,3
power_api_manager.cc,0,0,0,0,0,0,0,0
layer_tree_settings.cc,0,0,0,0,0,0,0,0
plugin_metadata.cc,1,1,1,1,0,0,0,0
extension_tabs_apitest.cc,2,2,2,2,31,31,31,30
null_task_runner.cc,0,0,0,0,0,0,0,0
search_terms_data.cc,3,3,3,3,0,0,0,0
activity_log_enabled_unittest.cc,0,0,0,0,0,0,0,0
usb_device_resource.cc,0,0,0,0,0,0,0,0
run_all_tests.cc,0,0,0,0,1,1,1,1
murmurhash3_util.cc,0,0,0,0,0,0,0,0
theme_service.cc,3,3,3,3,4,4,3,2
minimize_button_metrics_win.cc,1,1,1,1,1,1,1,1
shell_test_api.cc,0,0,0,0,0,0,0,0
android_cache_database_unittest.cc,2,2,2,2,0,0,0,0
content_setting_image_model.cc,9,9,8,8,1,1,1,1
